id,path,line_number
nmnhbotany_2842136,metadata/objects/NMNHBOTANY/3c.txt.bz2,13634
nmnhbotany_2126348,metadata/objects/NMNHBOTANY/45.txt.bz2,11479
nmnhbotany_2510686,metadata/objects/NMNHBOTANY/3d.txt.bz2,13473
nmnhbotany_2842079,metadata/objects/NMNHBOTANY/43.txt.bz2,13041
nmnhbotany_10167152,metadata/objects/NMNHBOTANY/41.txt.bz2,12483
nmnhbotany_14471228,metadata/objects/NMNHBOTANY/2f.txt.bz2,12388
nmnhbotany_2132631,metadata/objects/NMNHBOTANY/29.txt.bz2,12123
nmnhbotany_13179883,metadata/objects/NMNHBOTANY/2f.txt.bz2,12414
nmnhbotany_2143069,metadata/objects/NMNHBOTANY/2a.txt.bz2,11993
nmnhbotany_2080630,metadata/objects/NMNHBOTANY/2d.txt.bz2,12097
nmnhbotany_2101773,metadata/objects/NMNHBOTANY/2a.txt.bz2,11994
nmnhbotany_10103724,metadata/objects/NMNHBOTANY/3c.txt.bz2,14197
nmnhbotany_12501233,metadata/objects/NMNHBOTANY/38.txt.bz2,11384
nmnhbotany_12974459,metadata/objects/NMNHBOTANY/25.txt.bz2,12577
nmnhbotany_2132374,metadata/objects/NMNHBOTANY/46.txt.bz2,11384
nmnhbotany_2155449,metadata/objects/NMNHBOTANY/27.txt.bz2,12178
nmnhbotany_12457195,metadata/objects/NMNHBOTANY/3a.txt.bz2,11458
nmnhbotany_15295997,metadata/objects/NMNHBOTANY/3f.txt.bz2,13340
nmnhbotany_2147425,metadata/objects/NMNHBOTANY/27.txt.bz2,12179
nmnhbotany_15194010,metadata/objects/NMNHBOTANY/38.txt.bz2,11635
nmnhbotany_12974457,metadata/objects/NMNHBOTANY/20.txt.bz2,12760
nmnhbotany_15432641,metadata/objects/NMNHBOTANY/3e.txt.bz2,14694
nmnhbotany_2842155,metadata/objects/NMNHBOTANY/21.txt.bz2,13239
nmnhbotany_15448399,metadata/objects/NMNHBOTANY/3c.txt.bz2,14918
nmnhbotany_10604016,metadata/objects/NMNHBOTANY/40.txt.bz2,12901
nmnhbotany_10512530,metadata/objects/NMNHBOTANY/4a.txt.bz2,12179
nmnhbotany_2098423,metadata/objects/NMNHBOTANY/49.txt.bz2,11422
nmnhbotany_10112185,metadata/objects/NMNHBOTANY/21.txt.bz2,13256
nmnhbotany_15183629,metadata/objects/NMNHBOTANY/47.txt.bz2,12382
nmnhbotany_10273212,metadata/objects/NMNHBOTANY/2b.txt.bz2,13539
nmnhbotany_10101295,metadata/objects/NMNHBOTANY/25.txt.bz2,13198
nmnhbotany_14664526,metadata/objects/NMNHBOTANY/29.txt.bz2,13019
nmnhbotany_15477841,metadata/objects/NMNHBOTANY/3d.txt.bz2,14807
nmnhbotany_2131164,metadata/objects/NMNHBOTANY/30.txt.bz2,12488
nmnhbotany_14202414,metadata/objects/NMNHBOTANY/6e.txt.bz2,122
